Instance                      NSGA-II                  SL        GA                       SL        
conus_rural_3_10requests      0.4573333333333333       2         0.332                    5         Good                          
conus_rural_3_20requests      0.4208333333333334       4         0.36350000000000005      6         Good                          
conus_rural_3_30requests      0.5045555555555556       5         0.429                    6         Good                          
conus_rural_4_10requests      0.4046666666666666       3         0.27                     4         Good                          
conus_rural_4_20requests      0.5128333333333333       8         0.4425                   5         Good                          
conus_rural_4_30requests      0.5211111111111111       6         0.42533333333333334      4         Good                          
conus_uniform_0_10requests    0.4746666666666667       4         0.41800000000000004      5         Good                          
conus_uniform_0_20requests    0.5478333333333333       7         0.529                    5         Good                          
conus_uniform_0_30requests    0.5476666666666667       3         0.49799999999999994      5         Good                          
conus_uniform_1_10requests    0.5146666666666666       4         0.46699999999999997      7         Good                          
conus_uniform_1_20requests    0.6091666666666666       6         0.479                    2         Good                          
conus_uniform_1_30requests    0.48300000000000004      9         0.4503333333333333       5         Good                          
conus_uniform_2_10requests    0.5086666666666667       4         0.42100000000000004      3         Good                          
conus_uniform_2_20requests    0.5128333333333333       7         0.4775                   6         Good                          
conus_uniform_2_30requests    0.38711111111111113      8         0.44366666666666665      5         Bad                           
conus_uniform_3_10requests    0.5206666666666666       4         0.466                    6         Good                          
conus_uniform_3_20requests    0.5505                   5         0.5445                   5         Good                          
conus_uniform_3_30requests    0.4974444444444444       7         0.449                    4         Good                          
conus_uniform_4_10requests    0.512                    5         0.413                    5         Good                          
conus_uniform_4_20requests    0.5356666666666667       7         0.586                    5         Bad                           
conus_uniform_4_30requests    0.532                    10        0.4610000000000001       6         Good                          
conus_urban_0_10requests      0.5996666666666667       5         0.305                    5         Good                          
conus_urban_0_20requests      0.5863333333333334       7         0.5375000000000001       5         Good                          
conus_urban_0_30requests      0.6446666666666666       5         0.547                    5         Good                          
conus_urban_1_10requests      0.5900000000000001       5         0.45299999999999996      5         Good                          
conus_urban_1_20requests      0.6013333333333333       3         0.5245                   5         Good                          
conus_urban_1_30requests      0.550111111111111        3         0.45200000000000007      6         Good                          
conus_urban_2_10requests      0.5963333333333334       4         0.4                      5         Good                          
conus_urban_2_20requests      0.5866666666666667       5         0.5515                   6         Good                          
conus_urban_2_30requests      0.6486666666666667       4         0.45733333333333337      7         Good                          
conus_urban_3_10requests      0.696                    4         0.295                    5         Good                          
conus_urban_3_20requests      0.6043333333333333       5         0.41350000000000003      5         Good                          
conus_urban_3_30requests      0.5791111111111111       7         0.4326666666666667       5         Good                          
conus_urban_4_10requests      0.643                    3         0.501                    5         Good                          
