Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_10requests   0.43166666666666664      5         0.39                     6         Good                          
cogent_centers_0_20requests   0.5051666666666667       7         0.41750000000000004      5         Good                          
cogent_centers_0_30requests   0.5187777777777778       7         0.43366666666666664      5         Good                          
cogent_centers_1_10requests   0.55                     4         0.29200000000000004      3         Good                          
cogent_centers_1_20requests   0.5645                   7         0.4610000000000001       3         Good                          
cogent_centers_1_30requests   0.5323333333333333       12        0.4296666666666667       3         Good                          
cogent_centers_2_10requests   0.4086666666666667       4         0.335                    5         Good                          
cogent_centers_2_20requests   0.5795                   5         0.33349999999999996      2         Good                          
cogent_centers_2_30requests   0.5696666666666667       10        0.433                    5         Good                          
cogent_centers_3_10requests   0.38233333333333336      3         0.33499999999999996      4         Good                          
cogent_centers_3_20requests   0.4151666666666667       7         0.3905                   5         Good                          
cogent_centers_3_30requests   0.5187777777777778       5         0.3913333333333333       3         Good                          
cogent_centers_4_10requests   0.5213333333333334       5         0.496                    6         Good                          
cogent_centers_4_20requests   0.5183333333333333       6         0.4295                   5         Good                          
cogent_centers_4_30requests   0.4717777777777778       5         0.3253333333333333       4         Good                          
cogent_rural_0_10requests     0.2726666666666666       3         0.12400000000000001      3         Good                          
cogent_rural_0_20requests     0.37750000000000006      4         0.3315                   7         Good                          
cogent_rural_0_30requests     0.3297777777777778       6         0.3846666666666666       5         Bad                           
cogent_rural_1_10requests     0.3763333333333333       4         0.192                    3         Good                          
cogent_rural_1_20requests     0.337                    4         0.2915                   6         Good                          
cogent_rural_1_30requests     0.42599999999999993      2         0.33666666666666667      5         Good                          
cogent_rural_2_10requests     0.28400000000000003      3         0.13                     3         Good                          
cogent_rural_2_20requests     0.4116666666666666       6         0.30800000000000005      5         Good                          
cogent_rural_2_30requests     0.3423333333333333       5         0.33299999999999996      5         Good                          
cogent_rural_3_10requests     0.368                    4         0.25                     4         Good                          
cogent_rural_3_20requests     0.44633333333333336      4         0.4475                   5         Bad                           
cogent_rural_3_30requests     0.47266666666666657      8         0.3373333333333333       5         Good                          
cogent_rural_4_10requests     0.37866666666666665      3         0.267                    5         Good                          
cogent_rural_4_20requests     0.3081666666666667       4         0.2215                   4         Good                          
cogent_rural_4_30requests     0.4046666666666667       6         0.3093333333333333       5         Good                          
cogent_uniform_0_10requests   0.4853333333333333       6         0.26                     4         Good                          
cogent_uniform_0_20requests   0.5008333333333334       5         0.366                    6         Good                          
cogent_uniform_0_30requests   0.5222222222222223       7         0.424                    5         Good                          
cogent_uniform_1_10requests   0.328                    3         0.216                    3         Good                          
cogent_uniform_1_20requests   0.432                    7         0.38050000000000006      6         Good                          
cogent_uniform_1_30requests   0.47122222222222215      5         0.31466666666666665      4         Good                          
cogent_uniform_2_10requests   0.3516666666666667       2         0.324                    7         Good                          
cogent_uniform_2_20requests   0.39299999999999996      4         0.39349999999999996      4         Bad                           
cogent_uniform_2_30requests   0.4817777777777777       7         0.34900000000000003      3         Good                          
cogent_uniform_3_10requests   0.2326666666666667       2         0.266                    6         Bad                           
cogent_uniform_3_20requests   0.42233333333333334      4         0.3305                   5         Good                          
cogent_uniform_3_30requests   0.4623333333333332       6         0.433                    5         Good                          
cogent_uniform_4_10requests   0.352                    5         0.391                    6         Bad                           
cogent_uniform_4_20requests   0.3805                   6         0.345                    4         Good                          
cogent_uniform_4_30requests   0.5044444444444444       5         0.4316666666666666       7         Good                          
cogent_urban_0_10requests     0.5056666666666666       5         0.24799999999999997      3         Good                          
cogent_urban_0_20requests     0.5608333333333334       4         0.4435                   4         Good                          
