Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_10requests   0.43366666666666664      3         0.366                    4         Good                          
cogent_centers_0_20requests   0.4575                   5         0.44649999999999995      5         Good                          
cogent_centers_0_30requests   0.5456666666666667       8         0.3503333333333333       5         Good                          
cogent_centers_1_10requests   0.524                    3         0.375                    5         Good                          
cogent_centers_1_20requests   0.5498333333333334       6         0.471                    4         Good                          
cogent_centers_1_30requests   0.522888888888889        9         0.335                    3         Good                          
cogent_centers_2_10requests   0.43433333333333324      4         0.42000000000000004      5         Good                          
cogent_centers_2_20requests   0.5885                   6         0.4                      3         Good                          
cogent_centers_2_30requests   0.5335555555555556       7         0.3973333333333333       4         Good                          
cogent_centers_3_10requests   0.404                    4         0.32                     3         Good                          
cogent_centers_3_20requests   0.4445                   6         0.417                    7         Good                          
cogent_centers_3_30requests   0.5425555555555556       7         0.422                    4         Good                          
cogent_centers_4_10requests   0.5546666666666668       4         0.51                     7         Good                          
cogent_centers_4_20requests   0.5436666666666667       6         0.4395                   5         Good                          
cogent_centers_4_30requests   0.496                    10        0.3473333333333333       4         Good                          
cogent_rural_0_10requests     0.2723333333333333       3         0.14400000000000002      3         Good                          
cogent_rural_0_20requests     0.359                    4         0.3345                   6         Good                          
cogent_rural_0_30requests     0.34544444444444444      6         0.37766666666666665      6         Bad                           
cogent_rural_1_10requests     0.404                    4         0.192                    3         Good                          
cogent_rural_1_20requests     0.33533333333333337      4         0.2815                   5         Good                          
cogent_rural_1_30requests     0.45199999999999996      6         0.373                    6         Good                          
cogent_rural_2_10requests     0.3586666666666667       4         0.13                     3         Good                          
cogent_rural_2_20requests     0.3835                   3         0.3055                   6         Good                          
cogent_rural_2_30requests     0.34222222222222215      5         0.33133333333333337      5         Good                          
cogent_rural_3_10requests     0.33466666666666667      3         0.259                    3         Good                          
cogent_rural_3_20requests     0.43883333333333335      3         0.4159999999999999       5         Good                          
cogent_rural_3_30requests     0.44966666666666666      3         0.34900000000000003      5         Good                          
cogent_rural_4_10requests     0.38166666666666665      3         0.228                    4         Good                          
cogent_rural_4_20requests     0.3295                   4         0.2465                   5         Good                          
cogent_rural_4_30requests     0.42633333333333334      6         0.33466666666666667      7         Good                          
cogent_uniform_0_10requests   0.4603333333333333       4         0.22399999999999998      3         Good                          
cogent_uniform_0_20requests   0.485                    7         0.374                    5         Good                          
cogent_uniform_0_30requests   0.502                    7         0.4                      5         Good                          
cogent_uniform_1_10requests   0.322                    3         0.22799999999999998      4         Good                          
cogent_uniform_1_20requests   0.4205                   3         0.35550000000000004      6         Good                          
cogent_uniform_1_30requests   0.4696666666666667       5         0.3146666666666666       5         Good                          
cogent_uniform_2_10requests   0.3863333333333333       4         0.301                    5         Good                          
cogent_uniform_2_20requests   0.3851666666666667       3         0.4025                   5         Bad                           
cogent_uniform_2_30requests   0.47511111111111115      5         0.37600000000000006      5         Good                          
