Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_30requests   0.4718888888888889       5         0.38966666666666666      4         Good                          
cogent_centers_1_30requests   0.5271111111111111       9         0.33966666666666673      5         Good                          
cogent_centers_2_30requests   0.5791111111111111       10        0.35000000000000003      5         Good                          
cogent_centers_3_30requests   0.5051111111111112       4         0.44099999999999995      6         Good                          
cogent_centers_4_30requests   0.45611111111111113      5         0.3986666666666667       4         Good                          
cogent_rural_0_30requests     0.36066666666666664      4         0.39033333333333337      6         Bad                           
cogent_rural_1_30requests     0.46555555555555556      7         0.3696666666666666       5         Good                          
cogent_rural_2_30requests     0.33                     6         0.35133333333333333      5         Bad                           
cogent_rural_3_30requests     0.44699999999999995      4         0.32300000000000006      5         Good                          
cogent_rural_4_30requests     0.33044444444444443      4         0.32266666666666666      6         Good                          
cogent_uniform_0_30requests   0.487                    5         0.44133333333333324      6         Good                          
cogent_uniform_1_30requests   0.4876666666666666       4         0.4156666666666666       5         Good                          
cogent_uniform_2_30requests   0.46266666666666667      5         0.3636666666666667       4         Good                          
cogent_uniform_3_30requests   0.43588888888888894      5         0.46166666666666667      5         Bad                           
cogent_uniform_4_30requests   0.4888888888888888       4         0.4533333333333333       8         Good                          
cogent_urban_0_30requests     0.5784444444444444       9         0.43799999999999994      6         Good                          
cogent_urban_1_30requests     0.5312222222222222       3         0.43333333333333335      4         Good                          
cogent_urban_2_30requests     0.5525555555555556       7         0.45733333333333337      5         Good                          
cogent_urban_3_30requests     0.6005555555555556       3         0.47800000000000004      5         Good                          
cogent_urban_4_30requests     0.5612222222222222       5         0.42466666666666664      3         Good                          
conus_centers_0_30requests    0.5189999999999999       5         0.42066666666666663      3         Good                          
conus_centers_1_30requests    0.5597777777777778       8         0.5073333333333334       4         Good                          
conus_centers_2_30requests    0.5357777777777778       7         0.471                    4         Good                          
conus_centers_3_30requests    0.498                    7         0.48066666666666663      5         Good                          
conus_centers_4_30requests    0.5                      7         0.499                    5         Good                          
conus_rural_0_30requests      0.5353333333333333       11        0.42066666666666663      5         Good                          
conus_rural_1_30requests      0.4366666666666666       5         0.38933333333333336      5         Good                          
conus_rural_2_30requests      0.6083333333333333       4         0.41900000000000004      5         Good                          
conus_rural_3_30requests      0.47455555555555556      8         0.4636666666666667       6         Good                          
conus_rural_4_30requests      0.4953333333333334       9         0.43300000000000005      4         Good                          
conus_uniform_0_30requests    0.5773333333333333       3         0.4653333333333334       6         Good                          
conus_uniform_1_30requests    0.5252222222222223       8         0.4023333333333333       5         Good                          
conus_uniform_2_30requests    0.4076666666666667       7         0.458                    6         Bad                           
conus_uniform_3_30requests    0.5304444444444445       7         0.5073333333333333       3         Good                          
conus_uniform_4_30requests    0.47522222222222227      6         0.45600000000000007      5         Good                          
conus_urban_0_30requests      0.6346666666666667       5         0.5533333333333332       6         Good                          
conus_urban_1_30requests      0.5384444444444444       4         0.45466666666666666      4         Good                          
conus_urban_2_30requests      0.6123333333333333       2         0.4236666666666666       6         Good                          
conus_urban_3_30requests      0.5958888888888889       6         0.4826666666666667       5         Good                          
conus_urban_4_30requests      0.6597777777777778       4         0.5103333333333333       4         Good                          
