Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_10requests   0.36699999999999994      3         0.366                    4         Good                          
cogent_centers_0_20requests   0.4336666666666667       6         0.44649999999999995      5         Bad                           
cogent_centers_0_30requests   0.4206666666666668       4         0.3503333333333333       5         Good                          
cogent_centers_1_10requests   0.4896666666666666       3         0.375                    5         Good                          
cogent_centers_1_20requests   0.5395                   4         0.471                    4         Good                          
cogent_centers_1_30requests   0.4683333333333334       6         0.335                    3         Good                          
cogent_centers_2_10requests   0.32066666666666666      4         0.42000000000000004      5         Bad                           
cogent_centers_2_20requests   0.6141666666666666       7         0.4                      3         Good                          
cogent_centers_2_30requests   0.5201111111111112       7         0.3973333333333333       4         Good                          
cogent_centers_3_10requests   0.4753333333333334       4         0.32                     3         Good                          
cogent_centers_3_20requests   0.3668333333333333       6         0.417                    7         Bad                           
cogent_centers_3_30requests   0.5193333333333334       5         0.422                    4         Good                          
cogent_centers_4_10requests   0.5146666666666667       3         0.51                     7         Good                          
cogent_centers_4_20requests   0.5021666666666667       5         0.4395                   5         Good                          
cogent_centers_4_30requests   0.45                     5         0.3473333333333333       4         Good                          
cogent_rural_0_10requests     0.31166666666666665      2         0.14400000000000002      3         Good                          
cogent_rural_0_20requests     0.3813333333333333       4         0.3345                   6         Good                          
cogent_rural_0_30requests     0.441111111111111        8         0.37766666666666665      6         Good                          
cogent_rural_1_10requests     0.42966666666666664      5         0.192                    3         Good                          
cogent_rural_1_20requests     0.359                    3         0.2815                   5         Good                          
cogent_rural_1_30requests     0.4803333333333333       3         0.373                    6         Good                          
cogent_rural_2_10requests     0.3606666666666667       4         0.13                     3         Good                          
cogent_rural_2_20requests     0.4256666666666667       4         0.3055                   6         Good                          
cogent_rural_2_30requests     0.3457777777777778       5         0.33133333333333337      5         Good                          
cogent_rural_3_10requests     0.3656666666666667       3         0.259                    3         Good                          
cogent_rural_3_20requests     0.49449999999999994      3         0.4159999999999999       5         Good                          
cogent_rural_3_30requests     0.4424444444444444       4         0.34900000000000003      5         Good                          
cogent_rural_4_10requests     0.3516666666666667       2         0.228                    4         Good                          
cogent_rural_4_20requests     0.30866666666666664      3         0.2465                   5         Good                          
cogent_rural_4_30requests     0.377                    4         0.33466666666666667      7         Good                          
cogent_uniform_0_10requests   0.4383333333333333       3         0.22399999999999998      3         Good                          
cogent_uniform_0_20requests   0.5195                   5         0.374                    5         Good                          
cogent_uniform_0_30requests   0.5376666666666666       5         0.4                      5         Good                          
cogent_uniform_1_10requests   0.3756666666666667       3         0.22799999999999998      4         Good                          
cogent_uniform_1_20requests   0.4386666666666667       6         0.35550000000000004      6         Good                          
cogent_uniform_1_30requests   0.49611111111111106      3         0.3146666666666666       5         Good                          
cogent_uniform_2_10requests   0.3786666666666667       2         0.301                    5         Good                          
cogent_uniform_2_20requests   0.49983333333333335      6         0.4025                   5         Good                          
cogent_uniform_2_30requests   0.5224444444444445       5         0.37600000000000006      5         Good                          
cogent_uniform_3_10requests   0.30133333333333334      2         0.27999999999999997      5         Good                          
cogent_uniform_3_20requests   0.41000000000000003      4         0.332                    5         Good                          
cogent_uniform_3_30requests   0.43100000000000005      4         0.424                    6         Good                          
cogent_uniform_4_10requests   0.5103333333333333       4         0.395                    6         Good                          
cogent_uniform_4_20requests   0.45633333333333337      3         0.36250000000000004      6         Good                          
cogent_uniform_4_30requests   0.5549999999999999       5         0.4393333333333333       5         Good                          
cogent_urban_0_10requests     0.5636666666666668       5         0.33399999999999996      6         Good                          
cogent_urban_0_20requests     0.6459999999999999       5         0.44999999999999996      5         Good                          
cogent_urban_0_30requests     0.5893333333333334       8         0.42500000000000004      4         Good                          
cogent_urban_1_10requests     0.5456666666666667       6         0.252                    5         Good                          
cogent_urban_1_20requests     0.6618333333333333       6         0.3925                   6         Good                          
cogent_urban_1_30requests     0.5097777777777778       3         0.4363333333333333       5         Good                          
cogent_urban_2_10requests     0.5603333333333333       4         0.357                    6         Good                          
cogent_urban_2_20requests     0.6151666666666666       4         0.433                    5         Good                          
cogent_urban_2_30requests     0.599                    7         0.46499999999999997      5         Good                          
cogent_urban_3_10requests     0.5876666666666666       3         0.347                    4         Good                          
cogent_urban_3_20requests     0.5216666666666667       4         0.388                    5         Good                          
cogent_urban_3_30requests     0.6045555555555555       7         0.42033333333333334      5         Good                          
cogent_urban_4_10requests     0.5086666666666666       4         0.304                    4         Good                          
cogent_urban_4_20requests     0.5488333333333333       4         0.3885                   5         Good                          
cogent_urban_4_30requests     0.6016666666666667       3         0.46499999999999997      5         Good                          
conus_centers_0_10requests    0.39200000000000007      3         0.43799999999999994      6         Bad                           
conus_centers_0_20requests    0.3886666666666667       4         0.40950000000000003      6         Bad                           
conus_centers_0_30requests    0.4595555555555555       2         0.3816666666666666       3         Good                          
conus_centers_1_10requests    0.31266666666666665      3         0.41900000000000004      7         Bad                           
conus_centers_1_20requests    0.4654999999999999       5         0.43950000000000006      5         Good                          
conus_centers_1_30requests    0.5266666666666666       6         0.5                      4         Good                          
conus_centers_2_10requests    0.246                    3         0.208                    4         Good                          
conus_centers_2_20requests    0.43699999999999994      6         0.48200000000000004      5         Bad                           
conus_centers_2_30requests    0.4835555555555556       7         0.363                    4         Good                          
conus_centers_3_10requests    0.43633333333333335      4         0.365                    5         Good                          
conus_centers_3_20requests    0.4538333333333333       4         0.43599999999999994      5         Good                          
conus_centers_3_30requests    0.4415555555555556       5         0.3886666666666666       4         Good                          
conus_centers_4_10requests    0.38266666666666665      4         0.336                    6         Good                          
conus_centers_4_20requests    0.38999999999999996      4         0.48299999999999993      5         Bad                           
conus_centers_4_30requests    0.4367777777777778       3         0.44800000000000006      5         Bad                           
conus_rural_0_10requests      0.4743333333333333       4         0.199                    3         Good                          
