Instance                      NSGA-II                  SL        GA                       SL        
cogent_centers_0_10requests   0.4093333333333333       2         0.391                    6         Good                          
cogent_centers_0_20requests   0.3705                   6         0.478                    5         Bad                           
cogent_centers_0_30requests   0.3690000000000001       3         0.3983333333333334       5         Bad                           
cogent_centers_1_10requests   0.5476666666666666       4         0.41000000000000003      6         Good                          
cogent_centers_1_20requests   0.5451666666666666       4         0.441                    3         Good                          
cogent_centers_1_30requests   0.4031111111111111       5         0.4206666666666667       4         Bad                           
cogent_centers_2_10requests   0.40499999999999997      2         0.411                    5         Bad                           
cogent_centers_2_20requests   0.6001666666666667       5         0.5109999999999999       3         Good                          
cogent_centers_2_30requests   0.4934444444444445       3         0.4023333333333333       5         Good                          
cogent_centers_3_10requests   0.4730000000000001       5         0.31500000000000006      4         Good                          
cogent_centers_3_20requests   0.38933333333333336      5         0.363                    4         Good                          
cogent_centers_3_30requests   0.52                     4         0.5103333333333334       4         Good                          
cogent_centers_4_10requests   0.5273333333333333       5         0.497                    5         Good                          
cogent_centers_4_20requests   0.46650000000000014      5         0.45199999999999996      5         Good                          
cogent_centers_4_30requests   0.38755555555555554      4         0.3436666666666667       3         Good                          
cogent_rural_0_10requests     0.24000000000000002      2         0.07500000000000001      2         Good                          
cogent_rural_0_20requests     0.3468333333333333       2         0.3265                   7         Good                          
cogent_rural_0_30requests     0.3804444444444444       5         0.38433333333333336      6         Bad                           
cogent_rural_1_10requests     0.4103333333333333       3         0.21000000000000002      4         Good                          
cogent_rural_1_20requests     0.38799999999999996      4         0.3185                   7         Good                          
cogent_rural_1_30requests     0.4970000000000001       5         0.37533333333333335      5         Good                          
cogent_rural_2_10requests     0.33566666666666667      3         0.16900000000000004      4         Good                          
cogent_rural_2_20requests     0.36333333333333334      3         0.329                    6         Good                          
cogent_rural_2_30requests     0.3345555555555555       5         0.3353333333333333       5         Bad                           
cogent_rural_3_10requests     0.3423333333333333       2         0.191                    3         Good                          
cogent_rural_3_20requests     0.4618333333333333       3         0.4235000000000001       5         Good                          
cogent_rural_3_30requests     0.44955555555555554      3         0.32933333333333337      5         Good                          
cogent_rural_4_10requests     0.34800000000000003      2         0.14200000000000002      3         Good                          
cogent_rural_4_20requests     0.305                    3         0.2605                   6         Good                          
cogent_rural_4_30requests     0.3826666666666667       5         0.3243333333333333       5         Good                          
cogent_uniform_0_10requests   0.43233333333333324      2         0.236                    3         Good                          
cogent_uniform_0_20requests   0.5115000000000001       5         0.37799999999999995      5         Good                          
cogent_uniform_0_30requests   0.5313333333333334       5         0.43466666666666665      5         Good                          
cogent_uniform_1_10requests   0.368                    3         0.255                    4         Good                          
cogent_uniform_1_20requests   0.37750000000000006      3         0.40549999999999997      7         Bad                           
cogent_uniform_1_30requests   0.5041111111111112       4         0.4426666666666666       6         Good                          
cogent_uniform_2_10requests   0.377                    2         0.323                    5         Good                          
cogent_uniform_2_20requests   0.4494999999999999       5         0.399                    5         Good                          
cogent_uniform_2_30requests   0.5003333333333333       5         0.369                    5         Good                          
cogent_uniform_3_10requests   0.2326666666666667       2         0.11799999999999997      3         Good                          
cogent_uniform_3_20requests   0.4085                   5         0.37550000000000006      6         Good                          
cogent_uniform_3_30requests   0.4412222222222221       4         0.443                    4         Bad                           
cogent_uniform_4_10requests   0.5156666666666667       5         0.376                    6         Good                          
cogent_uniform_4_20requests   0.45733333333333326      3         0.3375                   6         Good                          
cogent_uniform_4_30requests   0.5370000000000001       3         0.44133333333333336      5         Good                          
cogent_urban_0_10requests     0.548                    4         0.29899999999999993      5         Good                          
cogent_urban_0_20requests     0.6345                   3         0.4595                   4         Good                          
cogent_urban_0_30requests     0.5798888888888889       7         0.44033333333333335      6         Good                          
cogent_urban_1_10requests     0.5786666666666667       5         0.266                    6         Good                          
cogent_urban_1_20requests     0.6199999999999999       4         0.3855                   5         Good                          
cogent_urban_1_30requests     0.5107777777777778       2         0.4456666666666667       5         Good                          
cogent_urban_2_10requests     0.4903333333333334       5         0.329                    6         Good                          
cogent_urban_2_20requests     0.6168333333333332       4         0.5075                   5         Good                          
cogent_urban_2_30requests     0.556888888888889        5         0.45733333333333337      5         Good                          
cogent_urban_3_10requests     0.6006666666666667       4         0.335                    4         Good                          
cogent_urban_3_20requests     0.5538333333333334       5         0.4100000000000001       6         Good                          
cogent_urban_3_30requests     0.585                    5         0.37600000000000006      5         Good                          
cogent_urban_4_10requests     0.4800000000000001       3         0.32099999999999995      5         Good                          
cogent_urban_4_20requests     0.5165                   4         0.413                    6         Good                          
cogent_urban_4_30requests     0.6014444444444444       5         0.4776666666666667       5         Good                          
conus_centers_0_10requests    0.5166666666666667       4         0.46199999999999997      7         Good                          
conus_centers_0_20requests    0.4418333333333333       6         0.49200000000000005      5         Bad                           
conus_centers_0_30requests    0.5068888888888888       3         0.44666666666666666      3         Good                          
conus_centers_1_10requests    0.39333333333333326      3         0.36                     5         Good                          
conus_centers_1_20requests    0.5628333333333333       8         0.44500000000000006      4         Good                          
conus_centers_1_30requests    0.507                    4         0.5313333333333333       5         Bad                           
conus_centers_2_10requests    0.30833333333333335      4         0.27899999999999997      5         Good                          
conus_centers_2_20requests    0.49149999999999994      5         0.48449999999999993      6         Good                          
conus_centers_2_30requests    0.47444444444444445      6         0.4693333333333333       3         Good                          
conus_centers_3_10requests    0.3706666666666667       3         0.377                    6         Bad                           
conus_centers_3_20requests    0.44466666666666665      4         0.5045                   6         Bad                           
conus_centers_3_30requests    0.5063333333333335       7         0.46033333333333337      5         Good                          
conus_centers_4_10requests    0.4673333333333333       4         0.33999999999999997      5         Good                          
conus_centers_4_20requests    0.4921666666666667       5         0.48050000000000004      6         Good                          
conus_centers_4_30requests    0.41800000000000004      3         0.5216666666666667       5         Bad                           
conus_rural_0_10requests      0.498                    4         0.24700000000000005      4         Good                          
conus_rural_0_20requests      0.5531666666666666       5         0.346                    3         Good                          
conus_rural_0_30requests      0.5388888888888889       7         0.451                    6         Good                          
conus_rural_1_10requests      0.508                    5         0.41600000000000004      5         Good                          
conus_rural_1_20requests      0.4946666666666667       5         0.427                    6         Good                          
conus_rural_1_30requests      0.45188888888888884      7         0.432                    5         Good                          
conus_rural_2_10requests      0.486                    3         0.352                    5         Good                          
conus_rural_2_20requests      0.5591666666666666       4         0.38999999999999996      7         Good                          
