Instance                      NSGA-II                  SL        GA                       SL        
conus_uniform_2_20requests    18.0                     7         19.0                     5         Bad                           
conus_uniform_2_30requests    19.0                     6         28.0                     5         Bad                           
conus_uniform_3_10requests    7.0                      4         10.0                     6         Bad                           
conus_uniform_3_20requests    18.0                     7         19.0                     6         Bad                           
conus_uniform_3_30requests    26.0                     9         29.0                     4         Bad                           
conus_uniform_4_10requests    8.0                      6         10.0                     5         Bad                           
conus_uniform_4_20requests    17.0                     4         20.0                     6         Bad                           
conus_uniform_4_30requests    24.0                     7         28.0                     5         Bad                           
conus_urban_0_10requests      10.0                     7         8.0                      5         Good                          
conus_urban_0_20requests      20.0                     6         20.0                     4         Bad                           
conus_urban_0_30requests      30.0                     3         29.0                     5         Good                          
conus_urban_1_10requests      10.0                     5         9.0                      4         Good                          
conus_urban_1_20requests      20.0                     4         20.0                     4         Bad                           
conus_urban_1_30requests      30.0                     5         30.0                     6         Bad                           
conus_urban_2_10requests      10.0                     3         9.0                      6         Good                          
conus_urban_2_20requests      20.0                     4         20.0                     7         Bad                           
conus_urban_2_30requests      30.0                     5         27.0                     5         Good                          
conus_urban_3_10requests      10.0                     5         8.0                      4         Good                          
conus_urban_3_20requests      20.0                     3         20.0                     5         Bad                           
conus_urban_3_30requests      30.0                     7         29.0                     5         Good                          
conus_urban_4_10requests      10.0                     3         9.0                      5         Good                          
conus_urban_4_20requests      20.0                     5         19.0                     5         Good                          
conus_urban_4_30requests      30.0                     7         30.0                     6         Bad                           
nsf_centers_0_10requests      5.0                      3         5.0                      5         Bad                           
nsf_centers_0_20requests      8.0                      3         8.0                      6         Bad                           
nsf_centers_0_30requests      17.0                     5         17.0                     5         Bad                           
nsf_centers_1_10requests      4.0                      2         4.0                      3         Bad                           
nsf_centers_1_20requests      8.0                      5         9.0                      5         Bad                           
nsf_centers_1_30requests      16.0                     4         16.0                     5         Bad                           
nsf_centers_2_10requests      4.0                      3         5.0                      3         Bad                           
nsf_centers_2_20requests      10.0                     5         10.0                     5         Bad                           
nsf_centers_2_30requests      14.0                     4         17.0                     6         Bad                           
nsf_centers_3_10requests      3.0                      2         3.0                      3         Bad                           
nsf_centers_3_20requests      8.0                      3         8.0                      4         Bad                           
nsf_centers_3_30requests      14.0                     3         15.0                     6         Bad                           
nsf_centers_4_10requests      4.0                      2         5.0                      4         Bad                           
