Instance                      NSGA-II / GA             
nsf_centers_4_20requests      0.4                      Good                          
nsf_centers_4_30requests      0.4                      Good                          
nsf_rural_0_10requests        0.25                     Good                          
nsf_rural_0_20requests        0.5                      Good                          
nsf_rural_0_30requests        0.16666666666666666      Good                          
nsf_rural_1_10requests        0.25                     Good                          
nsf_rural_1_20requests        0.16666666666666666      Good                          
nsf_rural_1_30requests        0.0                      Bad                           
nsf_rural_2_10requests        0.3333333333333333       Good                          
nsf_rural_2_20requests        0.3333333333333333       Good                          
nsf_rural_2_30requests        0.20833333333333331      Good                          
nsf_rural_3_10requests        0.25                     Good                          
nsf_rural_3_20requests        0.14285714285714285      Good                          
nsf_rural_3_30requests        0.0                      Bad                           
nsf_rural_4_10requests        0.5                      Good                          
nsf_rural_4_20requests        -0.23333333333333336     Bad                           
nsf_rural_4_30requests        0.16666666666666666      Good                          
nsf_uniform_0_10requests      0.75                     Good                          
nsf_uniform_0_20requests      0.6                      Good                          
nsf_uniform_0_30requests      0.25                     Good                          
nsf_uniform_1_10requests      0.25                     Good                          
nsf_uniform_1_20requests      0.3333333333333333       Good                          
nsf_uniform_1_30requests      0.2                      Good                          
nsf_uniform_2_10requests      0.4                      Good                          
nsf_uniform_2_20requests      0.2                      Good                          
nsf_uniform_2_30requests      0.023809523809523808     Good                          
nsf_uniform_3_10requests      0.25                     Good                          
nsf_uniform_3_20requests      0.5                      Good                          
nsf_uniform_3_30requests      0.2                      Good                          
nsf_uniform_4_10requests      0.3333333333333333       Good                          
nsf_uniform_4_20requests      0.0                      Bad                           
nsf_uniform_4_30requests      0.25                     Good                          
nsf_urban_0_10requests        0.5                      Good                          
nsf_urban_0_20requests        0.5                      Good                          
nsf_urban_0_30requests        0.16666666666666666      Good                          
nsf_urban_1_10requests        0.6666666666666666       Good                          
nsf_urban_1_20requests        0.6                      Good                          
nsf_urban_1_30requests        0.4                      Good                          
nsf_urban_2_10requests        0.4                      Good                          
nsf_urban_2_20requests        0.0                      Bad                           
nsf_urban_2_30requests        0.4                      Good                          
nsf_urban_3_10requests        0.4                      Good                          
nsf_urban_3_20requests        0.3333333333333333       Good                          
nsf_urban_3_30requests        0.25                     Good                          
nsf_urban_4_10requests        0.8                      Good                          
nsf_urban_4_20requests        0.4                      Good                          
nsf_urban_4_30requests        0.4                      Good                          
