Instance                      NSGA-II                  SL        GA                       SL        
conus_rural_3_10requests      0.4743333333333333       3         0.373                    6         Good                          
conus_rural_3_20requests      0.4276666666666667       5         0.35                     5         Good                          
conus_rural_3_30requests      0.4833333333333334       6         0.4703333333333333       6         Good                          
conus_rural_4_10requests      0.4033333333333333       3         0.254                    4         Good                          
conus_rural_4_20requests      0.49800000000000005      6         0.4465                   5         Good                          
conus_rural_4_30requests      0.5024444444444445       6         0.43433333333333335      4         Good                          
conus_uniform_0_10requests    0.481                    4         0.36200000000000004      4         Good                          
conus_uniform_0_20requests    0.49949999999999994      8         0.5135000000000001       7         Bad                           
conus_uniform_0_30requests    0.5855555555555555       6         0.444                    5         Good                          
conus_uniform_1_10requests    0.5376666666666667       4         0.492                    7         Good                          
conus_uniform_1_20requests    0.6264999999999998       5         0.5425000000000001       3         Good                          
conus_uniform_1_30requests    0.4861111111111111       8         0.39066666666666666      5         Good                          
conus_uniform_2_10requests    0.5443333333333333       5         0.487                    6         Good                          
conus_uniform_2_20requests    0.4883333333333333       6         0.4725                   6         Good                          
conus_uniform_2_30requests    0.42711111111111105      9         0.4683333333333333       6         Bad                           
conus_uniform_3_10requests    0.4653333333333333       3         0.423                    4         Good                          
conus_uniform_3_20requests    0.5623333333333334       6         0.5215                   6         Good                          
conus_uniform_3_30requests    0.49422222222222223      6         0.495                    3         Bad                           
conus_uniform_4_10requests    0.5166666666666667       4         0.394                    6         Good                          
conus_uniform_4_20requests    0.5138333333333333       6         0.5874999999999999       6         Bad                           
conus_uniform_4_30requests    0.48744444444444446      6         0.445                    6         Good                          
conus_urban_0_10requests      0.5696666666666667       6         0.293                    5         Good                          
conus_urban_0_20requests      0.5614999999999999       4         0.5194999999999999       5         Good                          
conus_urban_0_30requests      0.6190000000000001       3         0.5666666666666667       6         Good                          
conus_urban_1_10requests      0.53                     6         0.45499999999999996      7         Good                          
conus_urban_1_20requests      0.6733333333333333       3         0.48850000000000005      4         Good                          
conus_urban_1_30requests      0.5336666666666666       3         0.47766666666666663      5         Good                          
conus_urban_2_10requests      0.5946666666666667       3         0.44099999999999995      7         Good                          
conus_urban_2_20requests      0.601                    3         0.5469999999999999       5         Good                          
conus_urban_2_30requests      0.6357777777777778       3         0.4493333333333333       6         Good                          
conus_urban_3_10requests      0.6559999999999999       4         0.39                     5         Good                          
conus_urban_3_20requests      0.5448333333333333       4         0.4475                   3         Good                          
conus_urban_3_30requests      0.5228888888888888       5         0.44833333333333336      4         Good                          
conus_urban_4_10requests      0.6270000000000001       3         0.503                    6         Good                          
conus_urban_4_20requests      0.5726666666666667       3         0.5205                   5         Good                          
conus_urban_4_30requests      0.6292222222222221       2         0.508                    3         Good                          
nsf_centers_0_10requests      0.2876666666666667       3         0.21699999999999997      4         Good                          
nsf_centers_0_20requests      0.2465                   3         0.21949999999999997      6         Good                          
nsf_centers_0_30requests      0.3328888888888889       4         0.31366666666666665      5         Good                          
nsf_centers_1_10requests      0.24400000000000002      2         0.168                    3         Good                          
nsf_centers_1_20requests      0.2451666666666667       3         0.1965                   4         Good                          
nsf_centers_1_30requests      0.2876666666666666       3         0.28966666666666663      6         Bad                           
nsf_centers_2_10requests      0.21733333333333335      3         0.044999999999999984     2         Good                          
nsf_centers_2_20requests      0.25716666666666665      5         0.2355                   4         Good                          
nsf_centers_2_30requests      0.2671111111111111       3         0.267                    5         Good                          
nsf_centers_3_10requests      0.191                    2         0.13                     3         Good                          
nsf_centers_3_20requests      0.214                    2         0.15699999999999997      4         Good                          
nsf_centers_3_30requests      0.2797777777777778       4         0.2546666666666667       6         Good                          
nsf_centers_4_10requests      0.22133333333333333      2         0.05499999999999999      2         Good                          
nsf_centers_4_20requests      0.29283333333333333      4         0.256                    5         Good                          
nsf_centers_4_30requests      0.2594444444444444       3         0.24100000000000002      5         Good                          
nsf_rural_0_10requests        0.26733333333333337      3         0.188                    4         Good                          
nsf_rural_0_20requests        0.29766666666666675      7         0.2255                   5         Good                          
nsf_rural_0_30requests        0.2601111111111111       9         0.31                     6         Bad                           
nsf_rural_1_10requests        0.3233333333333333       4         0.13499999999999995      3         Good                          
nsf_rural_1_20requests        0.343                    4         0.31300000000000006      6         Good                          
nsf_rural_1_30requests        0.3436666666666667       6         0.3416666666666666       5         Good                          
nsf_rural_2_10requests        0.28300000000000003      3         0.24                     5         Good                          
nsf_rural_2_20requests        0.3195                   5         0.28700000000000003      6         Good                          
nsf_rural_2_30requests        0.44233333333333336      8         0.44666666666666666      6         Bad                           
nsf_rural_3_10requests        0.294                    4         0.23299999999999998      4         Good                          
nsf_rural_3_20requests        0.38116666666666665      5         0.26899999999999996      5         Good                          
nsf_rural_3_30requests        0.40955555555555556      5         0.34700000000000003      5         Good                          
nsf_rural_4_10requests        0.3233333333333333       3         0.14100000000000001      3         Good                          
nsf_rural_4_20requests        0.35416666666666674      6         0.3625                   6         Bad                           
nsf_rural_4_30requests        0.3558888888888889       7         0.2943333333333333       5         Good                          
nsf_uniform_0_10requests      0.3343333333333333       3         0.266                    4         Good                          
nsf_uniform_0_20requests      0.3298333333333333       9         0.29000000000000004      6         Good                          
nsf_uniform_0_30requests      0.3457777777777778       9         0.24699999999999997      4         Good                          
nsf_uniform_1_10requests      0.309                    2         0.13999999999999996      4         Good                          
nsf_uniform_1_20requests      0.2853333333333333       6         0.292                    6         Bad                           
nsf_uniform_1_30requests      0.3697777777777777       7         0.3686666666666667       5         Good                          
nsf_uniform_2_10requests      0.30300000000000005      3         0.249                    5         Good                          
nsf_uniform_2_20requests      0.31716666666666665      7         0.31999999999999995      6         Bad                           
nsf_uniform_2_30requests      0.3274444444444444       11        0.318                    6         Good                          
nsf_uniform_3_10requests      0.3673333333333333       4         0.12999999999999998      3         Good                          
nsf_uniform_3_20requests      0.3008333333333333       7         0.3035                   5         Bad                           
